t,area
0.000000e+00, 0.0
1.010701e-04, 0.0
2.008089e-04, 0.0
3.005869e-04, 0.0
4.002705e-04, 0.0
5.005230e-04, 0.0
6.005018e-04, 0.0
7.002980e-04, 0.0
8.009627e-04, 0.0
9.002934e-04, 0.0
1.000755e-03, 0.0
1.101087e-03, 0.0
1.200006e-03, 0.0
1.301010e-03, 0.0
1.400760e-03, 0.0
1.500365e-03, 0.0
1.600817e-03, 0.0
1.701043e-03, 0.0
1.801095e-03, 0.0
1.901015e-03, 0.0
2.000755e-03, 0.0
2.100328e-03, 0.0
2.200763e-03, 0.0
2.300963e-03, 0.0
2.400981e-03, 0.0
2.500723e-03, 0.0
2.600245e-03, 0.0
2.700646e-03, 0.0
2.800850e-03, 0.0
2.900885e-03, 0.0
3.000733e-03, 0.0
3.100417e-03, 0.0
3.201038e-03, 0.0
3.300426e-03, 0.0
3.400754e-03, 0.0
3.500937e-03, 0.0
3.600970e-03, 0.0
3.700812e-03, 0.0
3.800445e-03, 0.0
3.900949e-03, 0.0
4.000212e-03, 0.0
4.100385e-03, 0.0
4.200379e-03, 0.0
4.300143e-03, 0.0
4.400741e-03, 0.0
4.500073e-03, 0.0
4.600255e-03, 0.0
4.700232e-03, 0.0
4.800011e-03, 0.0
4.900641e-03, 0.0
5.000025e-03, 0.0
5.100251e-03, 0.0
5.200264e-03, 0.0
5.300053e-03, 0.0
5.400628e-03, 0.0
5.500931e-03, 0.0
5.600954e-03, 0.0
5.700696e-03, 0.0
5.800158e-03, 0.0
5.900366e-03, 0.0
6.000300e-03, 0.0
6.100985e-03, 0.0
6.200396e-03, 0.0
6.300569e-03, 0.0
6.400496e-03, 0.0
6.500181e-03, 0.0
6.600632e-03, 0.0
6.700842e-03, 0.0
6.800807e-03, 0.0
6.900525e-03, 0.0
7.000979e-03, 0.0
7.100161e-03, 0.0
7.200046e-03, 0.0
7.300615e-03, 0.0
7.400872e-03, 0.0
7.500810e-03, 0.0
7.600426e-03, 0.0
7.700688e-03, 0.0
7.800619e-03, 0.0
7.900222e-03, 0.0
8.000467e-03, 0.0
8.100391e-03, 0.0
8.200003e-03, 0.0
8.300264e-03, 0.0
8.400218e-03, 0.0
8.500818e-03, 0.0
8.600169e-03, 0.0
8.700162e-03, 0.0
8.800788e-03, 0.0
8.900164e-03, 0.0
9.000159e-03, 0.0
9.100758e-03, 0.0
9.200093e-03, 0.0
9.300012e-03, 0.0
9.400501e-03, 0.0
9.500630e-03, 0.0
9.600396e-03, 0.0
9.700702e-03, 0.0
9.800633e-03, 0.0
9.900194e-03, 0.0
1.000029e-02, 0.0
1.010003e-02, 0.0
1.020031e-02, 0.0
1.030023e-02, 0.0
1.040069e-02, 0.0
1.050078e-02, 0.0
1.060052e-02, 0.0
1.070078e-02, 0.0
1.080067e-02, 0.0
1.090019e-02, 0.0
1.100020e-02, 0.0
1.110069e-02, 0.0
1.120080e-02, 0.0
1.130052e-02, 0.0
1.140071e-02, 0.0
1.150051e-02, 0.0
1.160078e-02, 0.0
1.170067e-02, 0.0
1.180018e-02, 0.0
1.190017e-02, 0.0
1.200062e-02, 0.0
1.210069e-02, 0.0
1.220039e-02, 0.0
1.230054e-02, 0.0
1.240029e-02, 0.0
1.250047e-02, 0.0
1.260025e-02, 0.0
1.270045e-02, 0.0
1.280024e-02, 0.0
1.290043e-02, 0.0
1.300023e-02, 0.0
1.310044e-02, 0.0
1.320026e-02, 0.0
1.330048e-02, 0.0
1.340032e-02, 0.0
1.350057e-02, 0.0
1.360042e-02, 0.0
1.370067e-02, 0.0
1.380052e-02, 0.0
1.390074e-02, 0.0
1.400056e-02, 0.0
1.410074e-02, 0.0
1.420052e-02, 0.0
1.430065e-02, 0.0
1.440038e-02, 0.0
1.450047e-02, 0.0
1.460015e-02, 0.0
1.470018e-02, 0.0
1.480056e-02, 0.0
1.490054e-02, 0.0
1.500012e-02, 0.0
1.510003e-02, 0.0
1.520027e-02, 0.0
1.530009e-02, 0.0
1.540024e-02, 0.0
1.550070e-02, 0.0
1.560002e-02, 0.0
1.570039e-02, 0.0
1.580035e-02, 0.0
1.590063e-02, 0.0
1.600051e-02, 0.0
1.610069e-02, 0.0
1.620047e-02, 0.0
1.630055e-02, 0.0
1.640021e-02, 0.0
1.650017e-02, 0.0
1.660041e-02, 0.0
1.670023e-02, 0.0
1.680031e-02, 0.0
1.690067e-02, 0.0
1.700060e-02, 0.0
1.710012e-02, 0.0
1.720058e-02, 0.0
1.730062e-02, 0.0
1.740023e-02, 0.0
1.750010e-02, 0.0
1.760021e-02, 0.0
1.770056e-02, 0.0
1.780048e-02, 0.0
1.790064e-02, 0.0
1.800038e-02, 0.0
1.810034e-02, 0.0
1.820054e-02, 0.0
1.830031e-02, 0.0
1.840030e-02, 0.0
1.850052e-02, 0.0
1.860032e-02, 0.0
1.870033e-02, 0.0
1.880055e-02, 0.0
1.890035e-02, 0.0
1.900036e-02, 0.0
1.910057e-02, 0.0
1.920036e-02, 0.0
1.930035e-02, 0.0
1.940054e-02, 0.0
1.950031e-02, 0.0
1.960027e-02, 0.0
1.970043e-02, 0.0
1.980017e-02, 0.0
1.990010e-02, 0.0
2.000022e-02, 0.0
2.010051e-02, 0.0
2.020038e-02, 0.0
2.030043e-02, 0.0
2.040007e-02, 0.0
2.050047e-02, 0.0
2.060045e-02, 0.0
2.070057e-02, 0.0
2.080026e-02, 0.0
2.090008e-02, 0.0
2.100005e-02, 0.0
2.110014e-02, 0.0
2.120037e-02, 0.0
2.130016e-02, 0.0
2.140008e-02, 0.0
2.150012e-02, 0.0
2.160028e-02, 0.0
2.170001e-02, 0.0
2.180041e-02, 0.0
2.190037e-02, 0.0
2.200045e-02, 0.0
2.210010e-02, 0.0
2.220040e-02, 0.0
2.230027e-02, 0.0
2.240026e-02, 0.0
2.250035e-02, 0.0
2.260001e-02, 0.0
2.270032e-02, 0.0
2.280019e-02, 0.0
2.290017e-02, 0.0
2.300025e-02, 0.0
2.310043e-02, 0.0
2.320019e-02, 0.0
2.330005e-02, 0.0
2.340052e-02, 0.0
2.350005e-02, 0.0
2.360019e-02, 0.0
2.370043e-02, 0.0
2.380024e-02, 0.0
2.390015e-02, 0.0
2.400015e-02, 0.0
2.410024e-02, 0.0
2.420041e-02, 0.0
2.430017e-02, 0.0
